iter	Passed	Remaining
402	9620	14251
403	9635	14214
404	9664	14198
405	9721	14222
406	9746	14200
407	9766	14170
408	9785	14139
409	9802	14106
410	9815	14066
411	9829	14029
412	9844	13992
413	9860	13956
414	9874	13919
415	9891	13886
416	9906	13850
417	9925	13819
418	9939	13782
419	9952	13743
420	9965	13705
421	9979	13668
422	9995	13635
423	10017	13608
424	10036	13579
425	10084	13588
426	10133	13598
427	10162	13581
428	10211	13592
429	10248	13584
430	10284	13577
431	10314	13561
432	10341	13542
433	10373	13528
434	10395	13502
435	10415	13473
436	10438	13448
437	10451	13410
438	10468	13377
439	10486	13345
440	10518	13333
441	10551	13321
442	10579	13302
443	10628	13310
444	10659	13295
445	10678	13264
446	10693	13228
447	10708	13194
448	10724	13160
449	10738	13124
450	10751	13088
451	10766	13053
452	10781	13018
453	10795	12983
454	10808	12946
455	10823	12912
456	10836	12876
457	10853	12843
458	10867	12808
459	10880	12772
460	10894	12737
461	10906	12700
462	10918	12663
463	10932	12628
464	10945	12593
465	10961	12561
466	10974	12525
467	10988	12491
468	11003	12457
469	11015	12421
470	11031	12389
471	11044	12355
472	11062	12325
473	11107	12325
474	11122	12293
475	11139	12263
476	11152	12227
477	11163	12191
478	11176	12156
479	11189	12122
480	11203	12088
481	11220	12059
482	11236	12027
483	11250	11994
484	11264	11961
485	11279	11929
486	11311	11915
487	11327	11884
488	11342	11852
489	11356	11820
490	11371	11788
491	11385	11755
492	11398	11721
493	11411	11689
494	11425	11656
495	11441	11626
496	11454	11593
497	11468	11560
498	11480	11526
499	11500	11500
500	11518	11472
501	11531	11439
502	11543	11405
503	11555	11372
504	11568	11339
505	11580	11305
506	11592	11272
507	11603	11238
508	11616	11205
509	11628	11172
510	11640	11139
511	11651	11105
512	11663	11072
513	11676	11040
514	11693	11012
515	11712	10986
516	11725	10954
517	11741	10925
518	11755	10895
519	11768	10863
520	11781	10832
521	11793	10799
522	11806	10768
523	11819	10736
524	11834	10707
525	11848	10676
526	11859	10643
527	11871	10612
528	11885	10581
529	11898	10551
530	11909	10518
531	11923	10489
532	11938	10459
533	11951	10429
534	11964	10398
535	11975	10366
536	11987	10335
537	11998	10303
538	12010	10272
539	12021	10240
540	12039	10214
541	12055	10186
542	12067	10156
543	12079	10125
544	12093	10096
545	12105	10065
546	12117	10034
547	12130	10005
548	12143	9975
549	12165	9953
550	12192	9935
551	12207	9907
552	12223	9880
553	12236	9851
554	12255	9826
555	12269	9797
556	12287	9772
557	12300	9743
558	12314	9714
559	12326	9685
560	12338	9655
561	12351	9626
562	12365	9597
563	12381	9571
564	12399	9546
565	12416	9520
566	12430	9492
567	12446	9466
568	12458	9437
569	12472	9409
570	12485	9380
571	12498	9352
572	12517	9327
573	12531	9300
574	12545	9273
575	12557	9244
576	12570	9215
577	12597	9197
578	12626	9180
579	12648	9159
580	12672	9138
581	12716	9132
582	12728	9104
583	12742	9077
584	12753	9047
585	12765	9018
586	12777	8989
587	12789	8961
588	12800	8932
589	12813	8904
590	12824	8875
591	12835	8846
592	12849	8819
593	12861	8790
594	12872	8761
595	12883	8733
596	12895	8704
597	12907	8676
598	12919	8648
599	12931	8620
600	12943	8592
601	12954	8564
602	12965	8536
603	12977	8508
604	12989	8480
605	13000	8452
606	13011	8424
607	13023	8396
608	13034	8368
609	13048	8342
610	13060	8314
611	13072	8287
612	13084	8260
613	13095	8232
614	13116	8211
615	13145	8194
616	13159	8168
617	13170	8141
618	13182	8113
619	13194	8086
620	13206	8060
621	13218	8033
622	13230	8005
623	13242	7979
624	13254	7952
625	13265	7925
626	13283	7902
627	13295	7875
628	13307	7848
629	13320	7823
630	13331	7796
631	13343	7769
632	13355	7743
633	13367	7716
634	13378	7690
635	13390	7663
636	13402	7637
637	13414	7611
638	13427	7585
639	13438	7559
640	13451	7533
641	13464	7508
642	13476	7482
643	13487	7455
644	13498	7429
645	13522	7410
646	13535	7384
647	13547	7359
648	13559	7333
649	13571	7307
650	13583	7282
651	13594	7256
652	13606	7230
653	13618	7204
654	13629	7178
655	13640	7152
656	13654	7128
657	13665	7102
658	13676	7076
659	13687	7051
660	13698	7025
661	13720	7005
662	13735	6981
663	13747	6956
664	13759	6931
665	13770	6906
666	13783	6881
667	13794	6855
668	13805	6830
669	13817	6805
670	13828	6780
671	13840	6755
672	13854	6731
673	13865	6706
674	13877	6681
675	13889	6656
676	13901	6632
677	13925	6613
678	13939	6589
679	13953	6566
680	13964	6541
681	13976	6516
682	13987	6491
683	14000	6468
684	14012	6443
685	14024	6419
686	14035	6394
687	14047	6370
688	14060	6346
689	14071	6322
690	14083	6297
691	14095	6273
692	14113	6252
693	14131	6231
694	14144	6207
695	14160	6185
696	14174	6162
697	14186	6138
698	14200	6114
699	14213	6091
700	14225	6067
701	14237	6043
702	14251	6020
703	14265	5997
704	14283	5976
705	14297	5953
706	14317	5933
707	14332	5911
708	14343	5887
709	14357	5864
710	14369	5840
711	14380	5817
712	14392	5793
713	14404	5769
714	14418	5747
715	14429	5723
716	14441	5699
717	14454	5677
718	14466	5653
719	14478	5630
720	14490	5607
721	14502	5583
722	14524	5564
723	14537	5541
724	14550	5519
725	14563	5496
726	14575	5473
727	14588	5450
728	14599	5427
729	14612	5404
730	14624	5381
731	14636	5358
732	14648	5335
733	14661	5313
734	14673	5290
735	14685	5267
736	14697	5244
737	14715	5224
738	14731	5202
739	14742	5179
740	14757	5158
741	14769	5135
742	14780	5112
743	14792	5089
744	14807	5068
745	14819	5045
746	14830	5023
747	14843	5000
748	14856	4978
749	14868	4956
750	14879	4933
751	14892	4911
752	14905	4889
753	14928	4870
754	14940	4848
755	14953	4826
756	14967	4804
757	14978	4782
758	14991	4760
759	15003	4737
760	15017	4716
761	15029	4694
762	15042	4672
763	15057	4651
764	15077	4631
765	15100	4612
766	15136	4598
767	15164	4580
768	15181	4560
769	15199	4540
770	15218	4520
771	15232	4498
772	15249	4478
773	15270	4458
774	15285	4437
775	15298	4416
776	15312	4394
777	15324	4372
778	15336	4350
779	15348	4329
780	15362	4307
781	15376	4286
782	15389	4265
783	15402	4243
784	15417	4222
785	15430	4201
786	15444	4180
787	15457	4158
788	15471	4137
789	15483	4115
790	15496	4094
791	15522	4076
792	15548	4058
793	15562	4037
794	15574	4016
795	15587	3994
796	15601	3973
797	15613	3952
798	15626	3931
799	15638	3909
800	15651	3888
801	15664	3867
802	15677	3846
803	15690	3825
804	15703	3804
805	15715	3782
806	15742	3764
807	15788	3751
808	15818	3734
809	15855	3719
810	15895	3704
811	15932	3688
812	15963	3671
813	15985	3652
814	16013	3634
815	16039	3616
816	16078	3601
817	16112	3584
818	16148	3568
819	16177	3551
820	16213	3535
821	16243	3517
822	16280	3501
823	16314	3484
824	16339	3465
825	16370	3448
826	16428	3436
827	16473	3422
828	16520	3407
829	16550	3389
830	16592	3374
831	16622	3356
832	16663	3340
833	16710	3326
834	16742	3308
835	16775	3290
836	16809	3273
837	16856	3258
838	16877	3238
839	16908	3220
840	16940	3202
841	16963	3183
842	16982	3162
843	17011	3144
844	17040	3125
845	17063	3106
846	17081	3085
847	17094	3064
848	17110	3043
849	17125	3022
850	17139	3000
851	17155	2980
852	17170	2958
853	17186	2938
854	17201	2917
855	17214	2895
856	17227	2874
857	17241	2853
858	17261	2833
859	17276	2812
860	17291	2791
861	17308	2771
862	17324	2750
863	17340	2729
864	17356	2708
865	17373	2688
866	17389	2667
867	17421	2649
868	17457	2631
869	17483	2612
870	17505	2592
871	17525	2572
872	17560	2554
873	17587	2535
874	17608	2515
875	17627	2495
876	17650	2475
877	17672	2455
878	17693	2435
879	17718	2416
880	17750	2397
881	17782	2379
882	17805	2359
883	17824	2339
884	17848	2319
885	17865	2298
886	17880	2277
887	17898	2257
888	17914	2236
889	17929	2215
890	17943	2195
891	17957	2174
892	17974	2153
893	17988	2132
894	18020	2114
895	18075	2098
896	18103	2078
897	18148	2061
898	18170	2041
899	18201	2022
900	18237	2003
901	18271	1985
902	18296	1965
903	18318	1945
904	18359	1927
905	18399	1908
906	18435	1890
907	18463	1870
908	18492	1851
909	18546	1834
910	18586	1815
911	18612	1795
912	18635	1775
913	18666	1756
914	18691	1736
915	18734	1717
916	18764	1698
917	18781	1677
918	18804	1657
919	18819	1636
920	18833	1615
921	18850	1594
922	18864	1573
923	18882	1553
924	18910	1533
925	18943	1513
926	18967	1493
927	19010	1474
928	19048	1455
929	19076	1435
930	19109	1416
931	19148	1397
932	19182	1377
933	19217	1358
934	19250	1338
935	19281	1318
936	19313	1298
937	19361	1279
938	19392	1259
939	19419	1239
940	19450	1219
941	19467	1198
942	19489	1178
943	19516	1157
944	19549	1137
945	19587	1118
946	19621	1098
947	19644	1077
948	19658	1056
949	19671	1035
950	19684	1014
951	19699	993
952	19712	972
953	19727	951
954	19741	930
955	19757	909
956	19770	888
957	19784	867
958	19800	846
959	19812	825
960	19826	804
961	19838	783
962	19850	762
963	19862	741
964	19875	720
965	19888	699
966	19899	679
967	19911	658
968	19925	637
969	19936	616
970	19948	595
971	19959	574
972	19972	554
973	19984	533
974	19995	512
975	20007	491
976	20019	471
977	20037	450
978	20061	430
979	20085	409
980	20098	389
981	20112	368
982	20126	348
983	20138	327
984	20152	306
985	20164	286
986	20176	265
987	20189	245
988	20202	224
989	20214	204
990	20229	183
991	20248	163
992	20267	142
993	20287	122
994	20300	102
995	20312	81
996	20326	61
997	20341	40
998	20355	20
999	20368	0
