iter	Logloss
0	0.6596532906
1	0.627411342
2	0.6045481106
3	0.5795833909
4	0.5561860565
5	0.5366192625
6	0.5210314829
7	0.5076104793
8	0.4961093114
9	0.4845564251
10	0.4742730275
11	0.4651874141
12	0.4576973516
13	0.4500345603
14	0.4441653795
15	0.4374925022
16	0.431784193
17	0.4261832932
18	0.4208175275
19	0.4165841025
20	0.4134143475
21	0.4092095466
22	0.4064411065
23	0.4035333441
24	0.4012077209
25	0.3983138503
26	0.3957355398
27	0.3931120418
28	0.3908528411
29	0.388909819
30	0.3872372177
31	0.3856076073
32	0.383988919
33	0.3820373192
34	0.3807604871
35	0.3793725836
36	0.3778802811
37	0.3761130438
38	0.3749780026
39	0.3737534243
40	0.3726499437
41	0.3718842068
42	0.3706465281
43	0.3699179654
44	0.3689380203
45	0.3683532609
46	0.3674643039
47	0.3668545025
48	0.3659101062
49	0.3650522198
50	0.364318241
51	0.3637642656
52	0.3632082761
53	0.3625396405
54	0.3619304568
55	0.3614946914
56	0.3609954789
57	0.3606485614
58	0.3602749707
59	0.3597112966
60	0.3592376557
61	0.3587705107
62	0.3583090804
63	0.3579746899
64	0.357484874
65	0.3571732657
66	0.3568318917
67	0.356436529
68	0.355977155
69	0.3556773022
70	0.355328742
71	0.3549671508
72	0.3545791364
73	0.3543604425
74	0.3540535644
75	0.3537077184
76	0.3534016747
77	0.3531004992
78	0.3528636723
79	0.3525894945
80	0.3523285112
81	0.3520140974
82	0.3517844341
83	0.3515401306
84	0.3513079572
85	0.3510074615
86	0.3507766589
87	0.3505305462
88	0.3503116754
89	0.3500947793
90	0.3498678614
91	0.3496616321
92	0.3494835009
93	0.3492976336
94	0.3490986737
95	0.3488908305
96	0.3487113938
97	0.3485317473
98	0.3483711842
99	0.348130224
100	0.3479714552
101	0.3478501174
102	0.347764124
103	0.347558661
104	0.3473764752
105	0.3471843161
106	0.3470368381
107	0.3469020498
108	0.3467355013
109	0.3465778235
110	0.3464233793
111	0.3463204372
112	0.3461518564
113	0.3460156096
114	0.3458795902
115	0.3457707097
116	0.3455899327
117	0.3454336038
118	0.3452996433
119	0.3451739661
120	0.3450482103
121	0.3449135256
122	0.3447869093
123	0.3446356149
124	0.3444752437
125	0.34434719
126	0.3441875502
127	0.3440921588
128	0.344006607
129	0.3438704668
130	0.3437498915
131	0.3436045769
132	0.3435145851
133	0.3434020164
134	0.3432758069
135	0.3431803884
136	0.343048189
137	0.3428918672
138	0.3427878231
139	0.3427206759
140	0.3425867021
141	0.3424908454
142	0.3423912474
143	0.3422947004
144	0.3422011566
145	0.3421165875
146	0.342044043
147	0.341944638
148	0.3418459635
149	0.3417250944
150	0.3416447201
151	0.3415434859
152	0.3414747785
153	0.3413992793
154	0.3412685297
155	0.3411726807
156	0.3411046978
157	0.3410077083
158	0.3409312725
159	0.3408127449
160	0.3407312909
161	0.34062305
162	0.3405239419
163	0.3404087745
164	0.3403466321
165	0.3402761626
166	0.3401870083
167	0.340091141
168	0.3399817974
169	0.3399115994
170	0.3398345349
171	0.3397367371
172	0.3396592944
173	0.3395819675
174	0.3394952473
175	0.3393620903
176	0.3392459438
177	0.3391628727
178	0.3390368991
179	0.338924394
180	0.3388840116
181	0.338809692
182	0.338734212
183	0.3386749188
184	0.3385751391
185	0.3384513822
186	0.3383468472
187	0.3382367286
188	0.3381781089
189	0.3381051333
190	0.338027623
191	0.337903066
192	0.3378180468
193	0.3377388854
194	0.3376804516
195	0.3376179698
196	0.3375361566
197	0.3374541208
198	0.3373707774
199	0.3373289645
200	0.3372827415
201	0.3371994319
202	0.3371270594
203	0.337074671
204	0.336964874
205	0.3369078963
206	0.3368323817
207	0.3367851008
208	0.3367179678
209	0.3366557692
210	0.3366199681
211	0.3365410655
212	0.3364338312
213	0.336367935
214	0.3363153391
215	0.3362153453
216	0.3361547412
217	0.3360700662
218	0.3360002171
219	0.335944963
220	0.3358303021
221	0.33574152
222	0.3356978453
223	0.3356444639
224	0.3355708024
225	0.3354884826
226	0.3354386178
227	0.3353457917
228	0.3352592686
229	0.3352049918
230	0.3351544825
231	0.3350868716
232	0.3350012441
233	0.3349392809
234	0.3348667438
235	0.3348110703
236	0.3347339526
237	0.334665982
238	0.3346140465
239	0.3345531297
240	0.3344898596
241	0.3344235866
242	0.3343508852
243	0.3342718049
244	0.3341892995
245	0.3341038679
246	0.3340279195
247	0.3339829194
248	0.3338893695
249	0.3338167452
250	0.333769076
251	0.333692574
252	0.3335850603
253	0.3335125782
254	0.3334502615
255	0.3333468746
256	0.3332777707
257	0.3332204933
258	0.3331431073
259	0.3330816651
260	0.3330213292
261	0.332939538
262	0.3328728583
263	0.3328133117
264	0.3327448612
265	0.3326736172
266	0.3325958264
267	0.3325082191
268	0.3324234021
269	0.3323750693
270	0.3323117092
271	0.3322548167
272	0.3322071876
273	0.3321471275
274	0.3320784099
275	0.3319969767
276	0.331933355
277	0.3318436788
278	0.3317699332
279	0.3316959982
280	0.3316034516
281	0.3315251109
282	0.3314672029
283	0.3314132444
284	0.3313467798
285	0.3312640001
286	0.3311706905
287	0.3310940993
288	0.3310122939
289	0.3309257844
290	0.3308509163
291	0.3307829155
292	0.3307215336
293	0.3306808209
294	0.3306147802
295	0.3305582701
296	0.3304642135
297	0.3303826336
298	0.3303211448
299	0.3302596756
300	0.3301961133
301	0.330108899
302	0.3300280195
303	0.3299478178
304	0.3298940996
305	0.3298469112
306	0.3297565858
307	0.3296339895
308	0.3295819429
309	0.3295321689
310	0.329450309
311	0.3293828762
312	0.3293189253
